Industry,Company_Size,Tech_Stack,Hiring_Budget,Role,Seniority_Level,Skills_Required,Years_Experience,Project_Type,Project_Timeline,Expected_Deliverables,Current_Team,Collaboration_Model,Diversity_Goals,Number_of_Hires,Hiring_Method
Retail,Large,"Python,Scikit-learn,Azure",286001,Data Scientist,Senior,"Python,OpenCV,PyTorch",3,Forecasting,4 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,At least 30% female candidates,1,Contract
E-commerce,Medium,"Python,TensorFlow,AWS",194606,ML Engineer,Mid-level,"Python,OpenCV,PyTorch",2,Predictive Analytics,3 months,Research papers,1 ML Engineer,Siloed,50% gender parity,3,Hybrid
Manufacturing,Medium,"R,Python,Azure ML",250706,Data Scientist,Junior,"Python,Scikit-learn,EDA",6,NLP,6 months,Interactive dashboards,2 Developers,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
Finance,Small,"R,Python,Azure ML",231822,Machine Learning Engineer,Junior,"Python,OpenCV,PyTorch",2,Forecasting,4 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,None,3,Remote
Healthcare,Medium,"Python,Spark,AWS Glue",266476,Data Engineer,Junior,"Python,Keras,NLP",5,Predictive Analytics,3 months,Object detection model,1 Analyst,Cross-functional,Ensure diverse academic backgrounds,3,"Full-time, Remote"
Retail,Large,"Python,TensorFlow,AWS",107437,Data Scientist,Junior,"Python,XGBoost,MySQL",3,Fraud Detection,4 months,Demand forecasting system,4 Researchers,Cross-functional,At least 1 woman per role,3,"Full-time, Remote"
EdTech,Large,"Python,Keras,NLP",226601,Data Analyst,Senior,"R,Python,Bioinformatics",3,Recommendation System,3 months,Deployable chatbot,1 Analyst,Siloed,At least 1 woman per role,2,Hybrid
E-commerce,Medium,"Python,XGBoost,MySQL",137661,ML Engineer,Senior,"Python,Scikit-learn,EDA",6,Forecasting,6 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,None,1,Hybrid
Healthcare,Medium,"Python,Tableau,SQL",164990,AI Researcher,Junior,"Python,Scikit-learn,NLP",3,Recommendation System,9 months,Medical ML Models,2 Data Engineers,Cross-functional,At least 1 person with disability,2,"Full-time, Remote"
Retail,Small,"Python,FastAPI,SQL",230617,ML Researcher,Mid-level,"Python,Keras,NLP",4,NLP,3 months,Medical ML Models,2 Developers,Siloed,Ensure diverse academic backgrounds,1,"Full-time, Remote"
Retail,Small,"Python,TensorFlow,AWS",173755,ML Researcher,Senior,"Python,Tableau,SQL",3,Predictive Analytics,3 months,Research papers,4 Researchers,Cross-functional,None,3,Remote
Gaming,Medium,"Python,TensorFlow,AWS",205010,Machine Learning Engineer,Senior,"Python,OpenCV,PyTorch",2,Forecasting,9 months,Sentiment classifier,5 Data Scientists,Siloed,Include fresh grads,2,"Full-time, Remote"
EdTech,Large,"Python,XGBoost,MySQL",131145,AI Researcher,Junior,"R,Python,Bioinformatics",3,Forecasting,9 months,Forecast models,1 Analyst,Cross-functional,Include fresh grads,3,Hybrid
Manufacturing,Small,"Python,TensorFlow,AWS",110201,AI Researcher,Senior,"Python,Scikit-learn,EDA",4,Predictive Analytics,6 months,Dashboards and reports,2 ML Engineers,Cross-functional,None,3,Remote
Finance,Medium,"Python,XGBoost,MySQL",293808,Data Engineer,Senior,"Python,Scikit-learn,EDA",5,Predictive Analytics,9 months,Interactive dashboards,2 ML Engineers,Siloed,At least 1 woman per role,1,Remote
Retail,Large,"Python,PyTorch,GCP",209193,Data Engineer,Senior,"Python,Scikit-learn,NLP",5,Recommendation System,5 months,Demand forecasting system,2 ML Engineers,Cross-functional,50% gender parity,1,"Full-time, Remote"
Logistics,Small,"Python,OpenCV,PyTorch",264895,Computer Vision Engineer,Junior,"Python,Spark,AWS Glue",1,Predictive Analytics,12 months,Research papers,2 Data Engineers,Cross-functional,At least 1 woman per role,2,Hybrid
Finance,Medium,"Python,Spark,AWS Glue",207577,ML Researcher,Senior,"Python,Scikit-learn,NLP",6,Computer Vision,9 months,ETL pipelines,2 Developers,Siloed,50% gender parity,2,"Full-time, Remote"
Gaming,Medium,"Python,FastAPI,SQL",220498,ML Engineer,Senior,"Python,Scikit-learn,EDA",6,Fraud Detection,12 months,Sentiment classifier,2 ML Engineers,Siloed,Ensure diverse academic backgrounds,1,Remote
Manufacturing,Medium,"Python,Spark,AWS Glue",178017,Data Engineer,Senior,"Python,Spark,AWS Glue",6,Fraud Detection,6 months,Forecast models,1 BI Engineer,Siloed,Include fresh grads,3,Remote
EdTech,Small,"Python,XGBoost,MySQL",277372,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,EDA",2,Forecasting,3 months,Sentiment classifier,5 Data Scientists,Siloed,At least 1 woman per role,3,Remote
Logistics,Small,"Python,Spark,AWS Glue",241184,Data Engineer,Senior,"Python,Keras,NLP",2,NLP,9 months,Demand forecasting system,2 Data Engineers,Cross-functional,At least 30% female candidates,3,"Full-time, Remote"
E-commerce,Large,"Python,Spark,AWS Glue",113760,Data Scientist,Mid-level,"Python,Scikit-learn,EDA",6,Recommendation System,3 months,Dashboards and reports,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,3,Hybrid
Logistics,Large,"Python,Spark,AWS Glue",298157,Data Engineer,Mid-level,"Python,Keras,NLP",6,NLP,3 months,Demand forecasting system,2 Data Engineers,Cross-functional,Ensure diverse academic backgrounds,2,Contract
Technology,Medium,"Python,Tableau,SQL",148840,Data Engineer,Junior,"Python,Scikit-learn,NLP",3,Predictive Analytics,9 months,Research papers,"1 Data Scientist, 1 PM",Siloed,At least 1 woman per role,3,"Full-time, Remote"
Manufacturing,Medium,"Python,FastAPI,SQL",232176,ML Researcher,Mid-level,"Python,Spark,AWS Glue",1,Forecasting,4 months,Interactive dashboards,1 ML Engineer,Cross-functional,At least 30% female candidates,3,Remote
EdTech,Large,"Python,Spark,AWS Glue",146004,Computer Vision Engineer,Mid-level,"Python,OpenCV,PyTorch",3,NLP,6 months,Research papers,1 Analyst,Cross-functional,At least 1 woman per role,2,Contract
Technology,Medium,"R,Python,Azure ML",161740,ML Researcher,Mid-level,"Python,Scikit-learn,EDA",3,Predictive Analytics,12 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,2,Contract
Technology,Large,"Python,PyTorch,GCP",222000,Data Engineer,Junior,"R,Python,Bioinformatics",6,Predictive Analytics,12 months,Sentiment classifier,5 Data Scientists,Siloed,None,3,Contract
E-commerce,Small,"Python,Tableau,SQL",140156,ML Researcher,Senior,"Python,XGBoost,MySQL",3,Recommendation System,12 months,Object detection model,1 BI Engineer,Cross-functional,At least 1 person with disability,1,"Full-time, Remote"
Healthcare,Large,"Python,Tableau,SQL",238457,ML Engineer,Junior,"Python,XGBoost,MySQL",1,NLP,9 months,Object detection model,2 Data Engineers,Cross-functional,Ensure diverse academic backgrounds,2,"Full-time, Remote"
Logistics,Small,"Python,Spark,AWS Glue",287935,ML Researcher,Junior,"Python,OpenCV,PyTorch",4,NLP,6 months,Dashboards and reports,2 Developers,Siloed,At least 1 woman per role,3,Full-time
Manufacturing,Medium,"Python,Keras,NLP",289603,Machine Learning Engineer,Mid-level,"Python,Keras,NLP",1,Fraud Detection,4 months,Demand forecasting system,5 Data Scientists,Cross-functional,At least 1 woman per role,2,Full-time
Manufacturing,Small,"Python,PyTorch,GCP",223750,Machine Learning Engineer,Mid-level,"R,Python,Bioinformatics",2,Computer Vision,12 months,Medical ML Models,"1 Data Scientist, 1 PM",Siloed,At least 1 woman per role,2,Hybrid
Healthcare,Large,"Python,OpenCV,PyTorch",134862,ML Engineer,Junior,"Python,Pandas,SQL",5,Recommendation System,9 months,Dashboards and reports,2 Data Engineers,Cross-functional,At least 1 person with disability,1,Remote
Logistics,Large,"Python,OpenCV,PyTorch",211182,Computer Vision Engineer,Junior,"Python,Spark,AWS Glue",4,Forecasting,4 months,Sentiment classifier,2 Data Engineers,Cross-functional,At least 30% female candidates,3,Hybrid
Technology,Small,"Python,Spark,AWS Glue",117639,Data Scientist,Senior,"Python,Scikit-learn,NLP",4,Predictive Analytics,12 months,Deployable chatbot,2 Data Engineers,Cross-functional,At least 1 woman per role,2,Contract
Manufacturing,Small,"Python,TensorFlow,AWS",136735,Data Engineer,Junior,"Python,XGBoost,MySQL",3,Predictive Analytics,9 months,Forecast models,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
E-commerce,Medium,"Python,Keras,NLP",172129,Machine Learning Engineer,Senior,"Python,XGBoost,MySQL",6,Computer Vision,12 months,Medical ML Models,2 Developers,Siloed,At least 30% female candidates,2,Hybrid
Manufacturing,Medium,"R,Python,Azure ML",207022,AI Researcher,Mid-level,"R,Python,Bioinformatics",2,Predictive Analytics,6 months,ETL pipelines,2 Data Engineers,Siloed,At least 1 person with disability,3,Contract
Logistics,Small,"Python,OpenCV,PyTorch",208180,Computer Vision Engineer,Senior,"Python,OpenCV,PyTorch",2,Recommendation System,4 months,Sentiment classifier,2 Data Engineers,Siloed,50% gender parity,1,Hybrid
Retail,Small,"Python,OpenCV,PyTorch",289945,Data Analyst,Junior,"Python,Keras,NLP",4,Fraud Detection,9 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,Ensure diverse academic backgrounds,3,"Full-time, Remote"
E-commerce,Medium,"Python,Spark,AWS Glue",187284,Data Engineer,Junior,"Python,Spark,AWS Glue",2,Fraud Detection,3 months,Interactive dashboards,2 Data Engineers,Cross-functional,At least 1 woman per role,1,"Full-time, Remote"
Retail,Medium,"R,Python,Azure ML",222224,ML Engineer,Mid-level,"Python,Keras,NLP",3,Predictive Analytics,6 months,Interactive dashboards,5 Data Scientists,Siloed,At least 1 person with disability,2,Contract
Retail,Medium,"R,Python,Azure ML",111984,Data Analyst,Senior,"Python,Pandas,SQL",1,Forecasting,9 months,Demand forecasting system,2 ML Engineers,Siloed,None,1,Contract
Retail,Small,"R,Python,Azure ML",249366,Data Analyst,Mid-level,"Python,OpenCV,PyTorch",6,Fraud Detection,5 months,Sentiment classifier,1 BI Engineer,Siloed,At least 1 woman per role,1,Remote
Finance,Small,"Python,OpenCV,PyTorch",228009,AI Researcher,Senior,"Python,Scikit-learn,NLP",5,NLP,3 months,Deployable chatbot,"2 Data Scientists, 1 MLOps Engineer",Siloed,Ensure diverse academic backgrounds,3,Contract
Healthcare,Large,"Python,FastAPI,SQL",102396,Data Analyst,Senior,"Python,Tableau,SQL",3,NLP,9 months,Demand forecasting system,1 BI Engineer,Siloed,At least 30% female candidates,1,"Full-time, Remote"
Manufacturing,Medium,"Python,TensorFlow,AWS",104384,Data Engineer,Senior,"Python,Keras,NLP",1,Predictive Analytics,12 months,Medical ML Models,1 Analyst,Cross-functional,At least 30% female candidates,3,Contract
E-commerce,Small,"Python,XGBoost,MySQL",238007,Data Engineer,Mid-level,"Python,Keras,NLP",4,NLP,5 months,Medical ML Models,1 BI Engineer,Cross-functional,50% gender parity,1,Remote
Healthcare,Large,"Python,TensorFlow,AWS",124510,Computer Vision Engineer,Mid-level,"R,Python,Bioinformatics",5,Recommendation System,3 months,Deployable chatbot,1 Analyst,Cross-functional,At least 1 woman per role,2,Remote
Healthcare,Large,"Python,TensorFlow,AWS",160231,Data Analyst,Senior,"Python,XGBoost,MySQL",4,Forecasting,3 months,Research papers,1 ML Engineer,Cross-functional,Ensure diverse academic backgrounds,2,Full-time
E-commerce,Large,"Python,FastAPI,SQL",297198,Computer Vision Engineer,Junior,"Python,Keras,NLP",2,Predictive Analytics,4 months,Demand forecasting system,4 Researchers,Siloed,At least 1 woman per role,3,Contract
Healthcare,Large,"Python,Scikit-learn,Azure",114076,Data Scientist,Mid-level,"Python,Spark,AWS Glue",1,Forecasting,9 months,Demand forecasting system,2 ML Engineers,Siloed,At least 1 person with disability,2,Full-time
EdTech,Medium,"Python,Tableau,SQL",159805,ML Engineer,Senior,"R,Python,Bioinformatics",4,Computer Vision,12 months,Demand forecasting system,4 Researchers,Cross-functional,At least 1 person with disability,3,Remote
E-commerce,Large,"Python,PyTorch,GCP",121505,Data Engineer,Junior,"R,Python,Bioinformatics",6,Fraud Detection,4 months,Medical ML Models,"1 Data Scientist, 1 PM",Siloed,At least 30% female candidates,1,Full-time
EdTech,Medium,"Python,Scikit-learn,Azure",299582,Data Engineer,Junior,"Python,Pandas,SQL",1,Computer Vision,6 months,Interactive dashboards,2 Developers,Siloed,At least 30% female candidates,1,Full-time
Retail,Large,"Python,PyTorch,GCP",256480,ML Engineer,Mid-level,"Python,Scikit-learn,NLP",3,Recommendation System,6 months,Research papers,2 Developers,Cross-functional,Include fresh grads,3,Contract
Gaming,Small,"Python,FastAPI,SQL",170495,Data Engineer,Mid-level,"Python,Tableau,SQL",2,NLP,4 months,Medical ML Models,1 ML Engineer,Siloed,None,2,Full-time
Retail,Medium,"Python,Spark,AWS Glue",288979,ML Researcher,Senior,"Python,XGBoost,MySQL",2,Recommendation System,3 months,Dashboards and reports,1 ML Engineer,Cross-functional,At least 1 woman per role,2,"Full-time, Remote"
Gaming,Medium,"Python,Tableau,SQL",187749,Computer Vision Engineer,Senior,"Python,XGBoost,MySQL",2,Forecasting,5 months,Demand forecasting system,2 Data Engineers,Siloed,None,1,Hybrid
Retail,Medium,"Python,Tableau,SQL",250963,Data Analyst,Mid-level,"R,Python,Bioinformatics",3,Recommendation System,5 months,Research papers,2 ML Engineers,Cross-functional,Include fresh grads,3,Contract
Manufacturing,Small,"Python,Tableau,SQL",285694,Data Analyst,Mid-level,"Python,Keras,NLP",6,NLP,6 months,Interactive dashboards,1 Analyst,Siloed,Ensure diverse academic backgrounds,2,Contract
Gaming,Medium,"Python,PyTorch,GCP",217720,ML Researcher,Senior,"R,Python,Bioinformatics",5,Predictive Analytics,12 months,Medical ML Models,2 Developers,Cross-functional,At least 1 person with disability,2,"Full-time, Remote"
Healthcare,Small,"Python,Spark,AWS Glue",272386,ML Engineer,Junior,"Python,XGBoost,MySQL",1,Predictive Analytics,12 months,Medical ML Models,"1 Data Scientist, 1 PM",Siloed,At least 30% female candidates,1,Full-time
EdTech,Small,"Python,OpenCV,PyTorch",295783,Data Analyst,Mid-level,"Python,Scikit-learn,EDA",4,Recommendation System,12 months,Demand forecasting system,2 Developers,Cross-functional,None,1,Hybrid
Healthcare,Medium,"R,Python,Azure ML",122506,Data Scientist,Senior,"Python,Pandas,SQL",3,Forecasting,5 months,Interactive dashboards,2 Data Engineers,Siloed,None,2,Full-time
Logistics,Large,"Python,Tableau,SQL",183600,Data Scientist,Mid-level,"Python,Scikit-learn,NLP",6,NLP,3 months,Forecast models,5 Data Scientists,Cross-functional,50% gender parity,1,"Full-time, Remote"
Finance,Large,"Python,FastAPI,SQL",186766,Computer Vision Engineer,Mid-level,"Python,Spark,AWS Glue",4,Fraud Detection,4 months,Dashboards and reports,4 Researchers,Siloed,At least 30% female candidates,3,"Full-time, Remote"
E-commerce,Medium,"Python,XGBoost,MySQL",212604,Computer Vision Engineer,Junior,"Python,Spark,AWS Glue",2,Forecasting,12 months,Research papers,2 ML Engineers,Cross-functional,At least 1 person with disability,3,Contract
Retail,Medium,"Python,Spark,AWS Glue",219944,Data Scientist,Mid-level,"Python,Tableau,SQL",5,Fraud Detection,5 months,Demand forecasting system,4 Researchers,Siloed,Include fresh grads,1,Remote
Retail,Medium,"Python,XGBoost,MySQL",145227,Data Engineer,Senior,"Python,XGBoost,MySQL",1,Fraud Detection,4 months,Forecast models,5 Data Scientists,Cross-functional,None,1,Contract
Retail,Large,"Python,FastAPI,SQL",233909,Computer Vision Engineer,Mid-level,"Python,XGBoost,MySQL",2,Predictive Analytics,6 months,Medical ML Models,1 Analyst,Siloed,50% gender parity,3,Contract
Manufacturing,Small,"Python,Tableau,SQL",175716,AI Researcher,Junior,"Python,Scikit-learn,EDA",4,Predictive Analytics,3 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Siloed,Ensure diverse academic backgrounds,1,Hybrid
Manufacturing,Large,"Python,Tableau,SQL",207252,ML Researcher,Mid-level,"Python,Tableau,SQL",4,Computer Vision,3 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,None,1,Remote
E-commerce,Large,"Python,Keras,NLP",144094,ML Researcher,Senior,"Python,Tableau,SQL",5,Predictive Analytics,3 months,Demand forecasting system,5 Data Scientists,Siloed,At least 1 person with disability,3,Remote
Manufacturing,Small,"Python,Tableau,SQL",243223,Data Analyst,Mid-level,"Python,PyTorch,Deep Learning",6,Fraud Detection,4 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Siloed,None,2,Full-time
Logistics,Small,"Python,Spark,AWS Glue",155018,ML Engineer,Senior,"Python,XGBoost,MySQL",6,Recommendation System,4 months,Demand forecasting system,1 Analyst,Cross-functional,At least 1 person with disability,1,Full-time
Retail,Large,"Python,Keras,NLP",256462,AI Researcher,Mid-level,"Python,Keras,NLP",3,Predictive Analytics,5 months,Object detection model,5 Data Scientists,Cross-functional,At least 1 person with disability,2,Full-time
EdTech,Large,"Python,FastAPI,SQL",283874,AI Researcher,Junior,"Python,Pandas,SQL",6,Forecasting,4 months,Medical ML Models,1 BI Engineer,Cross-functional,Include fresh grads,3,Remote
Gaming,Medium,"Python,Tableau,SQL",119796,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",6,Forecasting,12 months,Forecast models,1 BI Engineer,Siloed,None,3,Full-time
Healthcare,Large,"Python,Tableau,SQL",266419,ML Engineer,Junior,"Python,OpenCV,PyTorch",4,Computer Vision,6 months,ETL pipelines,1 BI Engineer,Siloed,None,2,Remote
Manufacturing,Large,"Python,FastAPI,SQL",248410,ML Researcher,Mid-level,"Python,Scikit-learn,NLP",1,NLP,12 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 person with disability,1,Hybrid
Logistics,Small,"R,Python,Azure ML",153036,AI Researcher,Senior,"Python,Keras,NLP",2,Forecasting,3 months,Forecast models,1 ML Engineer,Cross-functional,None,3,Contract
Technology,Medium,"Python,Keras,NLP",290313,Data Analyst,Mid-level,"Python,PyTorch,Deep Learning",6,NLP,3 months,ETL pipelines,1 BI Engineer,Cross-functional,Ensure diverse academic backgrounds,3,Contract
Manufacturing,Large,"Python,Tableau,SQL",102434,Machine Learning Engineer,Senior,"Python,Scikit-learn,EDA",1,Recommendation System,12 months,Dashboards and reports,1 BI Engineer,Cross-functional,Ensure diverse academic backgrounds,2,Full-time
Healthcare,Small,"Python,Scikit-learn,Azure",196354,Data Engineer,Junior,"R,Python,Bioinformatics",2,Fraud Detection,12 months,Dashboards and reports,5 Data Scientists,Cross-functional,Include fresh grads,3,Contract
Logistics,Medium,"Python,Spark,AWS Glue",264647,AI Researcher,Mid-level,"Python,XGBoost,MySQL",6,Recommendation System,4 months,Research papers,5 Data Scientists,Cross-functional,At least 1 person with disability,1,"Full-time, Remote"
Gaming,Medium,"R,Python,Azure ML",182445,AI Researcher,Junior,"Python,Keras,NLP",6,NLP,4 months,Object detection model,2 ML Engineers,Siloed,At least 1 person with disability,3,Full-time
EdTech,Small,"Python,OpenCV,PyTorch",259102,Data Analyst,Senior,"R,Python,Bioinformatics",3,Fraud Detection,3 months,ETL pipelines,1 BI Engineer,Siloed,At least 30% female candidates,1,Hybrid
Healthcare,Large,"Python,TensorFlow,AWS",194659,ML Engineer,Junior,"R,Python,Bioinformatics",5,Recommendation System,5 months,Object detection model,1 Analyst,Siloed,At least 1 person with disability,1,Full-time
Healthcare,Small,"Python,Keras,NLP",156555,Machine Learning Engineer,Junior,"R,Python,Bioinformatics",5,Forecasting,12 months,Object detection model,4 Researchers,Siloed,50% gender parity,2,Full-time
Manufacturing,Large,"Python,XGBoost,MySQL",140024,Data Engineer,Junior,"Python,Keras,NLP",1,Predictive Analytics,4 months,Dashboards and reports,2 Developers,Siloed,At least 1 woman per role,3,Full-time
EdTech,Large,"R,Python,Azure ML",291354,Data Analyst,Junior,"Python,Spark,AWS Glue",1,Recommendation System,3 months,Interactive dashboards,2 ML Engineers,Cross-functional,None,3,Contract
Healthcare,Small,"Python,FastAPI,SQL",283893,Machine Learning Engineer,Junior,"Python,Tableau,SQL",3,Predictive Analytics,9 months,Sentiment classifier,1 Analyst,Siloed,Ensure diverse academic backgrounds,3,Remote
Healthcare,Small,"Python,Scikit-learn,Azure",212544,Data Engineer,Senior,"Python,PyTorch,Deep Learning",3,Fraud Detection,9 months,Research papers,1 BI Engineer,Siloed,Include fresh grads,2,Full-time
Logistics,Large,"Python,FastAPI,SQL",196387,AI Researcher,Mid-level,"Python,PyTorch,Deep Learning",5,Fraud Detection,12 months,Research papers,2 Data Engineers,Cross-functional,At least 30% female candidates,1,Contract
Technology,Medium,"Python,Scikit-learn,Azure",200395,AI Researcher,Junior,"Python,Scikit-learn,NLP",5,Fraud Detection,12 months,Medical ML Models,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,2,Remote
EdTech,Small,"Python,XGBoost,MySQL",197729,Data Scientist,Senior,"Python,Scikit-learn,NLP",2,Computer Vision,9 months,Deployable chatbot,4 Researchers,Cross-functional,At least 1 woman per role,2,Remote
Retail,Small,"Python,OpenCV,PyTorch",219733,Machine Learning Engineer,Mid-level,"Python,Spark,AWS Glue",3,Predictive Analytics,5 months,Demand forecasting system,2 Data Engineers,Siloed,None,3,Hybrid
E-commerce,Large,"Python,OpenCV,PyTorch",299355,Data Analyst,Junior,"Python,Scikit-learn,NLP",4,NLP,4 months,Object detection model,"1 Data Scientist, 1 PM",Cross-functional,None,1,Hybrid
EdTech,Small,"Python,Spark,AWS Glue",238887,Data Analyst,Mid-level,"Python,Tableau,SQL",1,Computer Vision,12 months,Sentiment classifier,5 Data Scientists,Cross-functional,Ensure diverse academic backgrounds,3,Hybrid
Retail,Medium,"Python,PyTorch,GCP",252245,Data Scientist,Senior,"Python,Pandas,SQL",6,Recommendation System,3 months,Demand forecasting system,2 ML Engineers,Cross-functional,At least 1 woman per role,3,Contract
E-commerce,Medium,"Python,Keras,NLP",182577,Computer Vision Engineer,Senior,"Python,Scikit-learn,EDA",3,Recommendation System,5 months,ETL pipelines,5 Data Scientists,Cross-functional,Ensure diverse academic backgrounds,3,Full-time
Finance,Small,"Python,FastAPI,SQL",217851,ML Researcher,Mid-level,"R,Python,Bioinformatics",1,Predictive Analytics,5 months,ETL pipelines,1 BI Engineer,Siloed,At least 1 woman per role,2,Full-time
Healthcare,Small,"Python,Keras,NLP",284734,Machine Learning Engineer,Junior,"Python,Scikit-learn,EDA",2,NLP,12 months,ETL pipelines,"1 Data Scientist, 1 PM",Siloed,Include fresh grads,1,Remote
EdTech,Small,"Python,TensorFlow,AWS",206008,ML Researcher,Senior,"Python,OpenCV,PyTorch",2,NLP,6 months,Research papers,1 Analyst,Cross-functional,At least 30% female candidates,1,Contract
Finance,Small,"R,Python,Azure ML",197580,Data Scientist,Senior,"Python,XGBoost,MySQL",3,NLP,3 months,Research papers,2 Data Engineers,Siloed,At least 1 person with disability,1,Full-time
Retail,Small,"Python,TensorFlow,AWS",220847,Machine Learning Engineer,Junior,"Python,XGBoost,MySQL",4,Fraud Detection,6 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,2,Contract
Retail,Small,"Python,FastAPI,SQL",172084,Data Engineer,Mid-level,"Python,Pandas,SQL",1,Predictive Analytics,9 months,Demand forecasting system,2 Data Engineers,Siloed,At least 1 woman per role,2,"Full-time, Remote"
Logistics,Small,"Python,PyTorch,GCP",173341,Computer Vision Engineer,Junior,"R,Python,Bioinformatics",2,Fraud Detection,9 months,ETL pipelines,2 Developers,Cross-functional,At least 1 woman per role,3,Remote
Logistics,Large,"Python,Tableau,SQL",190186,ML Engineer,Mid-level,"Python,Keras,NLP",2,NLP,5 months,Demand forecasting system,2 Data Engineers,Cross-functional,At least 1 person with disability,2,Full-time
Logistics,Large,"Python,Scikit-learn,Azure",253089,Data Analyst,Junior,"Python,PyTorch,Deep Learning",2,Fraud Detection,4 months,Sentiment classifier,2 Developers,Cross-functional,At least 1 person with disability,1,"Full-time, Remote"
Gaming,Medium,"Python,FastAPI,SQL",146163,Data Analyst,Senior,"Python,Scikit-learn,EDA",6,Fraud Detection,5 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Siloed,Include fresh grads,3,Contract
E-commerce,Medium,"Python,OpenCV,PyTorch",181016,AI Researcher,Mid-level,"Python,Scikit-learn,NLP",1,NLP,4 months,Demand forecasting system,2 Data Engineers,Cross-functional,Include fresh grads,2,Full-time
Retail,Large,"Python,Spark,AWS Glue",134207,ML Engineer,Senior,"Python,Pandas,SQL",3,NLP,3 months,Dashboards and reports,2 ML Engineers,Cross-functional,At least 1 person with disability,1,"Full-time, Remote"
Retail,Small,"Python,Scikit-learn,Azure",284690,Computer Vision Engineer,Senior,"Python,PyTorch,Deep Learning",3,Forecasting,5 months,Dashboards and reports,1 Analyst,Siloed,At least 1 person with disability,3,Hybrid
Retail,Small,"Python,OpenCV,PyTorch",281812,ML Engineer,Junior,"Python,XGBoost,MySQL",2,Recommendation System,5 months,Sentiment classifier,1 Analyst,Cross-functional,50% gender parity,1,"Full-time, Remote"
Gaming,Large,"Python,TensorFlow,AWS",147731,ML Engineer,Senior,"Python,Spark,AWS Glue",6,Predictive Analytics,3 months,Interactive dashboards,1 Analyst,Siloed,50% gender parity,1,Contract
Retail,Medium,"Python,FastAPI,SQL",266772,Data Scientist,Senior,"Python,Scikit-learn,EDA",4,NLP,5 months,ETL pipelines,2 Data Engineers,Cross-functional,None,2,Full-time
Technology,Small,"R,Python,Azure ML",214876,Computer Vision Engineer,Junior,"R,Python,Bioinformatics",4,Recommendation System,5 months,Object detection model,4 Researchers,Cross-functional,At least 1 person with disability,2,"Full-time, Remote"
E-commerce,Small,"Python,Tableau,SQL",119322,Machine Learning Engineer,Mid-level,"Python,Scikit-learn,NLP",3,Forecasting,3 months,Research papers,"1 Data Scientist, 1 PM",Cross-functional,At least 1 woman per role,1,Full-time
Manufacturing,Small,"Python,Scikit-learn,Azure",255721,ML Researcher,Senior,"Python,Scikit-learn,NLP",4,Fraud Detection,4 months,Demand forecasting system,4 Researchers,Cross-functional,At least 30% female candidates,1,Remote
E-commerce,Small,"R,Python,Azure ML",282765,Data Engineer,Senior,"Python,Keras,NLP",3,Computer Vision,3 months,Deployable chatbot,4 Researchers,Siloed,Ensure diverse academic backgrounds,1,Remote
Technology,Medium,"Python,PyTorch,GCP",177214,ML Researcher,Junior,"Python,PyTorch,Deep Learning",1,Computer Vision,4 months,Sentiment classifier,5 Data Scientists,Siloed,At least 1 person with disability,1,Remote
Gaming,Medium,"Python,Tableau,SQL",273287,Data Engineer,Junior,"Python,OpenCV,PyTorch",4,Computer Vision,5 months,Medical ML Models,"1 Data Scientist, 1 PM",Cross-functional,At least 1 woman per role,1,Remote
Logistics,Medium,"Python,Keras,NLP",159308,Data Engineer,Senior,"Python,Scikit-learn,NLP",2,Fraud Detection,12 months,Research papers,5 Data Scientists,Siloed,At least 1 person with disability,3,Hybrid
E-commerce,Large,"Python,TensorFlow,AWS",201477,Computer Vision Engineer,Senior,"Python,Tableau,SQL",5,Computer Vision,6 months,Sentiment classifier,5 Data Scientists,Siloed,At least 1 person with disability,3,Full-time
Manufacturing,Large,"Python,OpenCV,PyTorch",249811,AI Researcher,Junior,"Python,Tableau,SQL",2,Computer Vision,4 months,ETL pipelines,1 Analyst,Cross-functional,At least 1 woman per role,1,Hybrid
E-commerce,Large,"Python,FastAPI,SQL",255988,Data Engineer,Mid-level,"Python,PyTorch,Deep Learning",1,Recommendation System,9 months,Medical ML Models,2 Developers,Siloed,At least 1 person with disability,2,"Full-time, Remote"
